Ward Code;Ward Name ;Time Period;Latest Mid-Year Population Estimates for Ward;All Crimes (number);All Crimes (rate per 1000 ward population);Violent & Sexual Offences (number);Violent & Sexual Offences (rate per 1000 ward population);Burglary (number);Burglary (rate per 1000 ward population);geo_point_2d
E05010889;Bishopsworth;2016/17;11553;1504;130.182636545;419;36.2676361118;116;10.0406820739;51.4217884041,-2.61645553985
E05010899;Frome Vale;2016/17;13002;1522;117.058914013;415;31.9181664359;174;13.3825565298;51.4870905493,-2.53119915299
E05010900;Hartcliffe & Withywood;2016/17;18866;2453;130.022262271;945;50.0901091911;161;8.53387045479;51.4077037025,-2.6122179734
E05010902;Hengrove & Whitchurch Park;2016/17;17596;1966;111.729938622;565;32.1095703569;169;9.60445555808;51.4115422794,-2.57721341501
E05010909;Redland;2016/17;13251;790;59.618142027;159;11.999094408;135;10.1879103464;51.4752449941,-2.60115761678
E05010887;Bedminster;2017/18;12446;1121;90.0690985055;343;27.5590551181;107;8.59713964326;51.4371603671,-2.62187227821
E05010890;Brislington East;2017/18;11837;813;68.6829433133;287;24.2460082791;80;6.75846920672;51.4402835576,-2.53865369047
E05010892;Central;2017/18;18798;8490;451.643791893;2142;113.948292372;466;24.7898712629;51.4544148955,-2.59433619751
E05010893;Clifton;2017/18;13552;721;53.2024793388;132;9.74025974026;70;5.1652892562;51.4565158032,-2.61996331305
E05010894;Clifton Down;2017/18;11356;1019;89.7323001057;130;11.4476928496;122;10.7432194435;51.4649698075,-2.61265665527
E05010909;Redland;2017/18;13146;892;67.8533394188;156;11.8667275217;123;9.35645823825;51.4752449941,-2.60115761678
E05010888;Bishopston & Ashley Down;2018/19;13415;900;67.0890793887;238;17.7413343272;96;7.15616846813;51.4814532715,-2.58646340656
E05010892;Central;2018/19;20656;8672;419.829589466;2166;104.860573199;484;23.4314484895;51.4544148955,-2.59433619751
E05010893;Clifton;2018/19;13581;781;57.5068109859;181;13.3274427509;85;6.2587438333;51.4565158032,-2.61996331305
E05010916;Stoke Bishop;2018/19;12068;604;50.0497182632;143;11.8495193901;68;5.63473649321;51.4774256958,-2.63604316329
E05010885;Ashley;2016/17;18949;3119;164.599715025;859;45.3322075044;181;9.5519552483;51.4683098847,-2.58267316047
E05010887;Bedminster;2016/17;12336;1133;91.8450064851;332;26.9130998703;93;7.53891050584;51.4371603671,-2.62187227821
E05010905;Hotwells & Harbourside;2016/17;5543;2337;421.61284503;737;132.960490709;124;22.3705574599;51.4497285026,-2.60957858467
E05010910;St George Central;2016/17;12955;1255;96.873793902;378;29.1779235816;171;13.1995368584;51.4621405804,-2.52638340272
E05010912;St George West;2016/17;6588;701;106.405585914;220;33.3940497875;75;11.3843351548;51.4601173974,-2.54693954016
